cadeia,latitude,longitude,referencia_cadastral,uso_cadastral,area_edificio_m2,contexto,status_volta,motivo,fonte_area
Dia,36.7807467,-6.3539816,6341102QA3764A,1_residential,1522.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,43.2483778,-2.9283454,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,40.4049076,-3.6954078,1131613VK4713A,1_residential,390.9,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,40.4363269,-3.6850158,2066313VK4726E,1_residential,923.7,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,43.2953058,-5.683516,2473303TN8927S,1_residential,554.1,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.4071329,-3.9988504,5336202VK1753N,4_2_retail,323.8,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,43.3299727,-5.7185039,9812004TP7091S,1_residential,1638.5,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.4464045,-3.8021202,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,36.7314037,-4.8628041,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,37.7490061,-0.8482099,9603901XG8890D,4_2_retail,3520.9,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,41.651852,-0.9108942,4034708XM7143C,1_residential,664.2,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,41.6493724,-0.9141508,3731513XM7133B,1_residential,408.3,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,38.3064463,-5.2779935,0924901UH0402S,4_2_retail,1090.5,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
